practice_id,student_id,conversation_id,n_pairs,mean_div,median_div,p90_div,pct_le_0.25,pct_le_0.35,pct_le_0.60,pct_ge_0_60
A,01,A01,15,0.560762,0.547286,0.830902,6.67,13.33,66.67,33.33
A,02,A02,7,0.5439,0.550008,0.746884,0.0,0.0,71.43,28.57
A,03,A03,9,0.468168,0.412423,0.617753,0.0,22.22,88.89,11.11
A,04,A04,10,0.663316,0.668878,0.854566,0.0,0.0,40.0,60.0
A,05,A05,14,0.467618,0.46008,0.604306,0.0,21.43,85.71,14.29
A,06,A06,20,0.478767,0.527953,0.732147,20.0,40.0,65.0,35.0
A,07,A07,3,0.343763,0.353365,0.373176,0.0,33.33,100.0,0.0
A,08,A08,18,0.496387,0.461068,0.745595,5.56,33.33,66.67,33.33
A,09,A09,6,0.399831,0.379052,0.577659,16.67,50.0,100.0,0.0
A,10,A10,12,0.479422,0.430092,0.723504,8.33,33.33,66.67,33.33
A,11,A11,8,0.467369,0.468181,0.637138,12.5,25.0,75.0,25.0
A,12,A12,10,0.375328,0.261311,0.591723,30.0,60.0,90.0,10.0
A,13,A13,8,0.523934,0.58543,0.651746,0.0,25.0,62.5,37.5
A,14,A14,5,0.567482,0.59059,0.674638,0.0,0.0,60.0,40.0
A,15,A15,10,0.472624,0.406147,0.661267,10.0,30.0,60.0,40.0
A,16,A16,17,0.361979,0.337088,0.540321,11.76,58.82,100.0,0.0
A,17,A17,5,0.562104,0.599123,0.660575,0.0,0.0,60.0,40.0
A,18,A18,12,0.360397,0.296879,0.629513,25.0,66.67,83.33,16.67
A,19,A19,12,0.49954,0.466688,0.70811,8.33,8.33,75.0,25.0
A,20,A20,20,0.448204,0.457232,0.610626,10.0,30.0,75.0,25.0
A,21,A21,13,0.397592,0.375164,0.548677,15.38,30.77,92.31,7.69
A,23,A23,9,0.667051,0.699052,0.831653,0.0,0.0,33.33,66.67
A,24,A24,24,0.515985,0.510671,0.772775,0.0,25.0,70.83,29.17
A,25,A25,11,0.343038,0.310009,0.490708,27.27,54.55,100.0,0.0
A,26,A26,29,0.52268,0.509803,0.748025,3.45,24.14,55.17,44.83
A,27,A27,6,0.463482,0.438289,0.726902,33.33,33.33,66.67,33.33
A,28,A28,11,0.443643,0.388687,0.55046,0.0,9.09,90.91,9.09
A,29,A29,9,0.489644,0.546781,0.643477,0.0,22.22,77.78,22.22
A,30,A30,12,0.573699,0.601355,0.813035,8.33,8.33,50.0,50.0
B,01,B01,13,0.412359,0.401319,0.603504,15.38,38.46,84.62,15.38
B,02,B02,10,0.624395,0.67901,0.794611,0.0,10.0,40.0,60.0
B,03,B03,16,0.540774,0.538957,0.752442,0.0,12.5,68.75,31.25
B,04,B04,22,0.54706,0.599432,0.751474,4.55,22.73,50.0,50.0
B,05,B05,19,0.43063,0.351302,0.78307,15.79,47.37,73.68,26.32
B,06,B06,19,0.458277,0.440343,0.691881,15.79,36.84,78.95,21.05
B,07,B07,20,0.514447,0.488771,0.738314,0.0,20.0,70.0,30.0
B,08,B08,21,0.461362,0.424133,0.715715,4.76,38.1,71.43,28.57
B,09,B09,8,0.606443,0.581633,0.864131,12.5,12.5,62.5,37.5
B,10,B10,20,0.526007,0.475441,0.785928,5.0,10.0,65.0,35.0
B,11,B11,8,0.327508,0.336174,0.442683,37.5,50.0,100.0,0.0
B,12,B12,23,0.471116,0.454603,0.721928,8.7,39.13,69.57,30.43
B,13,B13,14,0.28885,0.282407,0.375788,21.43,85.71,100.0,0.0
B,14,B14,13,0.381118,0.340105,0.526441,7.69,53.85,92.31,7.69
B,15,B15,9,0.52797,0.596277,0.725619,0.0,22.22,55.56,44.44
B,16,B16,6,0.315585,0.304349,0.428877,33.33,83.33,100.0,0.0
B,17,B17,28,0.525045,0.501995,0.830137,7.14,25.0,71.43,28.57
B,18,B18,10,0.369827,0.351931,0.568148,30.0,50.0,90.0,10.0
B,19,B19,10,0.438557,0.457405,0.711669,30.0,30.0,80.0,20.0
B,20,B20,12,0.37087,0.308847,0.625431,50.0,50.0,83.33,16.67
B,21,B21,8,0.447483,0.382814,0.705189,12.5,50.0,75.0,25.0
B,22,B22,10,0.449479,0.425977,0.706204,10.0,30.0,80.0,20.0
B,23,B23,11,0.468294,0.408595,0.665699,0.0,0.0,81.82,18.18
B,24,B24,12,0.417747,0.382869,0.573973,8.33,25.0,91.67,8.33
B,25,B25,9,0.590846,0.560687,0.684777,0.0,0.0,55.56,44.44
B,26,B26,7,0.415228,0.368423,0.630437,14.29,28.57,71.43,28.57
B,27,B27,14,0.386053,0.393814,0.538167,14.29,35.71,100.0,0.0
B,28,B28,5,0.278797,0.283299,0.385977,40.0,80.0,100.0,0.0
B,29,B29,19,0.672756,0.724526,0.783292,0.0,5.26,21.05,78.95
